"B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","id","Geographic Area Name"
"2420","212","2190","227","230","115","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"3000","206","2429","221","571","210","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"1765","118","1531","124","234","86","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"923","104","858","101","65","38","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"1720","72","1381","92","339","72","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
"1677","112","1244","126","433","130","1400000US33005970200","Census Tract 9702, Cheshire County, New Hampshire"
"2082","98","1825","100","257","53","1400000US33005970400","Census Tract 9704, Cheshire County, New Hampshire"
"2107","219","1385","174","722","191","1400000US33005970500","Census Tract 9705, Cheshire County, New Hampshire"
"1762","171","1464","175","298","91","1400000US33005970600","Census Tract 9706, Cheshire County, New Hampshire"
"1429","79","1252","84","177","64","1400000US33005970700","Census Tract 9707, Cheshire County, New Hampshire"
